"","UCL_10","UCL_11","UCL_12","UCL_1","UCL_2","UCL_3","UCL_4","UCL_5","UCL_6","UCL_7","UCL_9"
"CV001_KM10202573_cluster_0",0.522237010240187,0.395677468428763,0.474707821865388,0.456876769852785,0.37717092812043,0.452860702424881,0.448898849434242,0.408830286600444,0.687338768609396,0.442169737800977,0.472382266814571
"CV001_KM10202573_cluster_1",0.213710272539603,0.240701558637591,0.277213261023261,0.326334503708274,0.249346744210321,0.327062073618233,0.33579457097247,0.799579414384339,0.211375033157872,0.323538444585191,0.327637295948042
"CV001_KM10202573_cluster_2",0.355241803259339,0.433127556832256,0.400629618741793,0.43089181626931,0.430122624916156,0.413146504657247,0.428054486203545,0.377727794959868,0.435360701800614,0.405452880300629,0.432807302886941
"CV001_KM10202573_cluster_3",0.276301528285298,0.304849532710412,0.315949120551361,0.344378073500477,0.304194825201999,0.333295400519836,0.338374601026471,0.322459953494184,0.501192506427994,0.332786408257725,0.339841961126652
"CV001_KM10202574_cluster_0",0.351795925473959,0.717267784185585,0.35417786441462,0.338172178473662,0.422062808052608,0.328880306782092,0.316145096474628,0.334131564866632,0.332191308639711,0.261951468231938,0.257763393108876
"CV001_KM10202574_cluster_1",0.49665338818465,0.340564688852007,0.811756950030685,0.404488649867551,0.355135761513659,0.35563758191004,0.360635899784643,0.381384511364107,0.382737634383915,0.274318476083244,0.299921623494565
"CV001_KM10202574_cluster_2",0.377627678708313,0.27638887187873,0.323308863505144,0.412565559505426,0.323709625147555,0.410488035384452,0.436129924859629,0.424724237297099,0.425968309557553,0.808745576459861,0.382244067973994
"CV001_KM10202574_cluster_3",0.353085973958151,0.263426276753724,0.320135810688591,0.387711319284507,0.297308766842937,0.381110392826563,0.390421667251108,0.403389786300753,0.405730993414682,0.313404119999125,0.751517909591895
"CV001_KM10202575_cluster_0",0.331586253847971,0.348025949792177,0.382075333705379,0.4286635766565,0.339663713854303,0.42308048117271,0.43289282413221,0.366020105467561,0.857838187213164,0.423267389970564,0.446768729501675
"CV001_KM10202575_cluster_1",0.313409924350665,0.329883993244501,0.350620235911069,0.402130175643335,0.327485056966639,0.408354695897139,0.398201185871669,0.763041619666617,0.363039190786618,0.393354444371561,0.407250129348826
"CV001_KM10202575_cluster_2",0.302416492482276,0.373214583700176,0.323713151420762,0.362664562590581,0.376682778611746,0.353092258054177,0.363928147261827,0.292001706464879,0.321174946724087,0.351476080038482,0.365293239991876
"CV001_KM10202575_cluster_3",0.837612645934347,0.374922120187497,0.522215927962199,0.414369107710406,0.368107611138958,0.383178279546723,0.398123560385769,0.331281515807128,0.333964729247627,0.390633417188817,0.391645088887322
"CV001_KM10202576_cluster_0",0.791089055382458,0.376253041213676,0.494919348424969,0.400614472826524,0.382872152350301,0.373899273907079,0.386635955517389,0.310506557024795,0.348838528661746,0.383945677985993,0.373707266223787
"CV001_KM10202576_cluster_1",0.299524488205804,0.336912200652582,0.367004030158523,0.405941651841734,0.326616080885176,0.411398687323558,0.412139043146549,0.795025134517688,0.352432314947547,0.40702367573035,0.411975534041586
"CV001_KM10202576_cluster_2",0.317312376307388,0.353342973626843,0.379996954573055,0.43322545278654,0.34289328856967,0.427996537825626,0.433482012770873,0.329770593932639,0.891906366803535,0.419050222210357,0.439078879487166
"CV001_KM10202576_cluster_3",0.271333175414935,0.339782678177139,0.314260668851196,0.318640216856911,0.341741967867679,0.318874603872094,0.308626469730764,0.260078782258394,0.297552487181743,0.310436748625412,0.33236773251707
"CV001_KM10202577_cluster_0",0.360967625714542,0.231845435537829,0.290907152562448,0.387715961143307,0.301693526777999,0.393026221282598,0.425722679879583,0.406975508975161,0.401323423329788,0.853033999048667,0.334419535741368
"CV001_KM10202577_cluster_1",0.338629802231311,0.216671199691941,0.279201311466169,0.401921291347259,0.295762329097119,0.395009041768716,0.414023837450579,0.418598761475891,0.412255683683582,0.356084331394555,0.86636962161854
"CV001_KM10202577_cluster_2",0.546411658640998,0.293546223903046,0.903464683265258,0.430938542434346,0.369365604363888,0.382252626648603,0.378813889920054,0.405777465320496,0.413605713079776,0.316347115831469,0.301626891425243
"CV001_KM10202577_cluster_3",0.332203869992357,0.871856457403523,0.266081654004885,0.323445473713211,0.464781954779168,0.318049126674302,0.314045917096362,0.320563517965824,0.317658381687109,0.23280940637272,0.217631999948609
"CV001_KM10202578_cluster_0",0.352518402501571,0.231837280021753,0.288456640338991,0.396327612648434,0.29962617884306,0.403476867608706,0.404973129673699,0.408617196600788,0.413761782130521,0.314265565847123,0.861152103748517
"CV001_KM10202578_cluster_1",0.541973994364879,0.310993363809974,0.907403023388277,0.433682669035122,0.360709672229978,0.37854546150327,0.374541427625604,0.395932862289089,0.410498764966175,0.266862642985928,0.31949561526234
"CV001_KM10202578_cluster_2",0.360885624376917,0.22925729296309,0.262369629783686,0.399370325292301,0.305396925828496,0.403661681488002,0.438199055841895,0.420564779885725,0.417243686356657,0.911329367735472,0.357020019411338
"CV001_KM10202578_cluster_3",0.33253126435028,0.857425704416415,0.279974017675083,0.332442072237161,0.450924122143258,0.308975271164857,0.309069062722113,0.319808210053986,0.313322449521282,0.214433422683319,0.216427799819495
"CV001_KM10202579_cluster_0",0.300600950992872,0.405659869910271,0.348542825219695,0.375952862950321,0.423574425258877,0.365934752420223,0.385662569403137,0.306419773744695,0.308252933754569,0.347326247359458,0.364642241492901
"CV001_KM10202579_cluster_1",0.2791716352696,0.348046381703932,0.363579776902042,0.411845692825373,0.32963261627414,0.407947604751094,0.432806966189772,0.326636305891336,0.884517970849637,0.407485543704835,0.443038036019745
"CV001_KM10202579_cluster_2",0.284459017871628,0.340938240011332,0.364361105701287,0.409792957091435,0.327471052105105,0.420912793087244,0.411557698724919,0.864393649625711,0.320466561967282,0.40216844228394,0.415897460127037
"CV001_KM10202579_cluster_3",0.895430578149361,0.368854011662957,0.518815634918594,0.398301113369804,0.362061457758748,0.373418172157984,0.383610990434896,0.300636182277777,0.295267199133747,0.389519836317649,0.378387256409832
"CV001_KM10202580_cluster_0",0.187128123455087,0.265503068011446,0.253016937679356,0.234215234162952,0.287449196285575,0.250806206119624,0.237092009061098,0.168870244151834,0.202316834967182,0.227529413260128,0.250253400432644
"CV001_KM10202580_cluster_1",0.301740761729077,0.349059239722109,0.368765828668785,0.426066368357969,0.342014910480183,0.435104432649489,0.418685152080218,0.864628323913487,0.324488331766327,0.412082122571662,0.432650202946903
"CV001_KM10202580_cluster_2",0.321398698793995,0.358766093455793,0.396097327970088,0.434813631521174,0.352814200328446,0.428406674215848,0.440939706508819,0.32929346426216,0.904264002402661,0.428853108166557,0.451836039101048
"CV001_KM10202580_cluster_3",0.871832078427933,0.393792361030064,0.521504860576626,0.415041941736083,0.396769994671058,0.378272284164677,0.392600469144183,0.295738747148854,0.31765117349233,0.395356986289349,0.385555159268818
"CV001_KM10202581_cluster_0",0.370867701990954,0.241861773878387,0.291597955979697,0.397059912589668,0.301118547447712,0.399229464004373,0.426050975712265,0.415461319701344,0.401529720691166,0.875264338660018,0.347279578852146
"CV001_KM10202581_cluster_1",0.321524867106248,0.886979250091728,0.261615884836708,0.334270472647573,0.467619116509484,0.325475100639707,0.303220995606022,0.311033512631837,0.31994597560602,0.226252209266086,0.232271005994641
"CV001_KM10202581_cluster_2",0.550038325419757,0.293217099751108,0.935972768333017,0.437557461070826,0.373640484146353,0.400629523938226,0.389480910668401,0.420409490512544,0.422880309605945,0.313086834871126,0.331087547907316
"CV001_KM10202581_cluster_3",0.362347550484394,0.239568804999944,0.302531225135542,0.409883412495216,0.297527437540111,0.405876475395773,0.420001349943635,0.428180508900184,0.432751043027488,0.344945251540729,0.858515578579537
"CV001_KM10202582_cluster_0",0.390752598457497,0.244000673523508,0.325731561111488,0.434951430221369,0.325165857665065,0.431849690154381,0.458469945155063,0.46072089997533,0.462023836972751,0.371906317785448,0.914865906977257
"CV001_KM10202582_cluster_1",0.350782156097923,0.923040207340828,0.29198548338686,0.352809331816109,0.485285358819366,0.335341211050353,0.341416859873582,0.3447161036197,0.350665686316284,0.245869699145284,0.252760193301296
"CV001_KM10202582_cluster_2",0.566643093369161,0.299190348530275,0.941130723318213,0.457294425517949,0.38361018310849,0.411776109405581,0.399387328373154,0.428088291609869,0.430531627886051,0.317510947039418,0.336569325159216
"CV001_KM10202582_cluster_3",0.393388976332418,0.246271372477761,0.322553656374631,0.420274085954762,0.328109321983375,0.425003527248152,0.450841947838195,0.429068827114469,0.429384588547844,0.919483394844231,0.367620046737602
"CV001_KM10202583_cluster_0",0.8777682421985,0.388779754695531,0.524702147989616,0.419961785746281,0.379888196878288,0.386432519954995,0.397731337698051,0.316757428537364,0.332598628063986,0.405916338203527,0.389947349666712
"CV001_KM10202583_cluster_1",0.327811744315511,0.356998400430571,0.375826665361288,0.421919075007984,0.333974472232245,0.428586859820745,0.427808306273092,0.81313386185019,0.359858375366741,0.422611375487255,0.432605837137836
"CV001_KM10202583_cluster_2",0.343586838540685,0.340686820887309,0.374428886661519,0.416670202845894,0.339173958475138,0.403954518054592,0.408198399140673,0.332790556938546,0.782679262722237,0.403525469300308,0.417272756872599
"CV001_KM10202583_cluster_3",0.258506110027718,0.351522962447623,0.319830581403017,0.338171958178625,0.359710501977648,0.32491943786877,0.33365492501814,0.261837468705054,0.291274900024359,0.325879131661514,0.328065163403796
"CV001_KM10202584_cluster_0",0.312948198795455,0.361839422643632,0.384386870962665,0.431966792782191,0.348712223725917,0.424181047512342,0.437071378085874,0.334162805810676,0.864761726905767,0.4238951569917,0.442745092270923
"CV001_KM10202584_cluster_1",0.313369718586107,0.366794435193279,0.379536815597654,0.430691959307973,0.344441572329066,0.435114003243719,0.428955413894824,0.853542591825552,0.341943033881163,0.429978009828329,0.435907310197139
"CV001_KM10202584_cluster_2",0.288441115343014,0.24747473062359,0.267508420168345,0.243877196775576,0.271087418496623,0.2566563121379,0.24631192840459,0.199436913855508,0.23302589239051,0.244280396253749,0.263183019073077
"CV001_KM10202584_cluster_3",0.884359844398656,0.384127943585722,0.519768705934635,0.417748469861356,0.380940952649096,0.379149591733513,0.391935664442103,0.289626318130984,0.308818802149017,0.393622637789101,0.388828463641742
"CV001_KM10202585_cluster_0",0.325630343160716,0.87694000815511,0.271386173807327,0.324968716409305,0.462140481522208,0.315362255893504,0.289676844851584,0.317189590132256,0.313646350326712,0.23849016429427,0.20762806683651
"CV001_KM10202585_cluster_1",0.359348530876578,0.214976603688615,0.287392841148431,0.415399647955336,0.311082667642551,0.415597698695753,0.43204525262304,0.430264443120255,0.430742718318205,0.3415543584922,0.903499382232086
"CV001_KM10202585_cluster_2",0.544143762010965,0.275491308331114,0.908317964921951,0.435737093511279,0.364536914206164,0.395090137779935,0.375324266653227,0.416685559045248,0.403514486377808,0.305862023016159,0.306330394380342
"CV001_KM10202585_cluster_3",0.37289403427651,0.239548012907014,0.283358401724429,0.403419857881053,0.313531923756949,0.395869015160415,0.438010321207744,0.423861640004968,0.407932910091537,0.88136902308668,0.343146833866503
"CV001_KM10202586_cluster_0",0.349062332713678,0.245555317917322,0.295738399255369,0.394454447763541,0.305894206820672,0.39571780157459,0.402520675790233,0.412264304216746,0.418906616417365,0.348552152893837,0.830856939284248
"CV001_KM10202586_cluster_1",0.354984527687565,0.242083200340438,0.283556200043536,0.375097019601967,0.290756860816732,0.378313752720582,0.409887553022607,0.402198081221563,0.395867530933636,0.831394811700609,0.342449236927745
"CV001_KM10202586_cluster_2",0.324681493896051,0.871664245771423,0.269702904056692,0.310018956532889,0.466914324855962,0.302268175210523,0.305391977153561,0.31567780804836,0.311510632623507,0.223184255865835,0.220630261631462
"CV001_KM10202586_cluster_3",0.507196726585125,0.293115969324451,0.857188987245864,0.411018705917844,0.347919784700412,0.352714448704849,0.346533071200985,0.375682541083042,0.377161057307361,0.273304347559678,0.285225314623244
"CV001_KM9465184_cluster_0",0.355627338048691,0.297694633796545,0.355747635735177,0.785213771132776,0.191094255005579,0.285741819098664,0.302656423643201,0.373783201226073,0.38540101371309,0.36045506156814,0.355722051731577
"CV001_KM9465184_cluster_1",0.346766944779923,0.285860155131712,0.309745063901848,0.289812915680754,0.225045421872502,0.348128707393711,0.748035891181936,0.382723838917969,0.379625260509102,0.389965947744046,0.377489719460422
"CV001_KM9465184_cluster_2",0.321436337126215,0.416982542133074,0.319645003890858,0.208869247033054,0.789980487079547,0.243384209310758,0.230315174788221,0.291812987745058,0.295176114380681,0.281828823339756,0.28348938545376
"CV001_KM9465184_cluster_3",0.327617480444953,0.278006740148501,0.333383398975738,0.282632400836348,0.225955794978951,0.771434102541281,0.34261584983401,0.37447006107697,0.375927217018684,0.364664315762847,0.366902327747209
"CV001_KM9465185_cluster_0",0.365448184939143,0.48811795770466,0.360199417565693,0.268004113017774,0.915840698675469,0.245957742197952,0.236818016865962,0.325553293484097,0.337755666971609,0.31486965735892,0.320461213403519
"CV001_KM9465185_cluster_1",0.451371357064714,0.369263724495772,0.46554392331797,0.933048694809323,0.297881875670284,0.353533092473861,0.358182783404948,0.480144706954355,0.477003045006462,0.434372768422618,0.456078394487989
